namn1,namn2,pris,köp antal,tot pris,länk,stil,land,storlek,alkohol,antal i butik,sektion,hylla
,,,,,,,,,,,,
vin,,,,,,,,,,,,
Il Barone,"Ecologico Organic White, 2023",205.0,,,https://www.systembolaget.se/produkt/vin/il-barone-7651208/,"Vitt vin, Friskt & Fruktigt",Spanien,000,11.5,57,12,05
Côtes-du-Rhône,"Reserve, 2023",299.0,,,https://www.systembolaget.se/produkt/vin/cotes-du-rhone-601808/,"Rött vin, Kryddigt & Mustigt",Frankrike,000,14.0,38,06,05
,,,,,,,,,,,,
alkoholfritt,,,,,,,,,,,,
Mariestads,Alkoholfri,12.9,,,https://www.systembolaget.se/produkt/alkoholfritt/mariestads-195202/,Alkoholfri Dortmunder och helles,Sverige,330,0.5,54,28,04
Briska Demi-Sec Alkoholfri,Sauvignon Blanc och Gröna Äpplen,14.5,,,https://www.systembolaget.se/produkt/alkoholfritt/briska-demi-sec-alkoholfri-1196003/,Alkoholfri Cider,Sverige,330,0.5,61,28,06
Halmstad Crush Thai-Basil,Alkoholfri,14.9,,,https://www.systembolaget.se/produkt/alkoholfritt/halmstad-crush-thai-basil-199415/,Alkoholfri Blanddryck,Sverige,330,0.5,40,28,06
,,,,,,,,,,,,
,,,,,,,,,,,,
